property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,servant_room,store_room,facing,furnishing_type,age_possession,area_bedroom_ratio,luxury_category,floornum_category
Flat,godrej meridien,sector 106,3.1,2002.0,3,3,3,1,0,west,Unfurnished,New Property,667.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,Vipul World,sector 48,6.3,4572.0,5,5,2,0,0,east,Unfurnished,New Property,914.4,Budget,Low-rise
Flat,ambience lagoon,sector 24,4.7,2400.0,3,3,2,1,0,east,Furnished,Old Property,800.0,Semi-Luxury,Low-rise
Flat,ss the leaf,sector 85,5.45,4950.0,5,7,3,1,0,east,Unfurnished,Relatively New,990.0,Budget,Mid-rise
Flat,mapsko mount ville,sector 79,1.78,1490.0,3,3,3,0,0,south-west,Semi-Furnished,Relatively New,496.6666666666667,Luxury,Mid-rise
Independent House,"Sector 4, Gurgaon",sector 4,3.5,1440.0,4,4,0,0,0,east,Unfurnished,Old Property,360.0,Budget,Low-rise
Independent Builder Floor,Emaar Emerald Hills,sector 65,2.7,1750.0,4,3,3,0,1,north,Semi-Furnished,Relatively New,437.5,Luxury,Low-rise
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,2.9,2500.0,4,4,3,1,0,east,Semi-Furnished,New Property,625.0,Budget,Low-rise
Flat,emaar digihomes,sector 62,3.6,1508.0,2,2,1,0,0,west,Unfurnished,Relatively New,754.0,Luxury,High-rise
Independent House,"Sector 7, Gurgaon",sector 7,8.25,3600.0,4,5,2,0,0,north-east,Unfurnished,Old Property,900.0,Budget,Low-rise
Flat,unitech escape,sector 50,3.3,1983.0,3,4,2,0,0,north,Unfurnished,Old Property,661.0,Semi-Luxury,Low-rise
Flat,eldeco accolade,Greater Gurugram - Sohna Region,1.46,1457.0,2,2,1,1,1,east,Unfurnished,Relatively New,728.5,Semi-Luxury,Low-rise
Flat,bptp park generations,sector 37,2.1,1870.0,3,3,3,0,0,west,Unfurnished,Relatively New,623.3333333333334,Luxury,Mid-rise
Independent House,Vatika India Next,sector 82,8.0,2870.0,5,5,3+,1,0,north,Unfurnished,Relatively New,574.0,Budget,Low-rise
Flat,bestech park view ananda,sector 81,2.15,1810.0,3,3,3+,0,0,north-west,Unfurnished,Moderately Old,603.3333333333334,Luxury,Low-rise
Flat,sobha city,sector 108,4.1,2072.0,3,3,2,0,0,east,Unfurnished,Relatively New,690.6666666666666,Luxury,Mid-rise
Flat,central park flower valley aqua front towers,sector 33,3.75,2407.0,4,4,3+,1,0,north,Semi-Furnished,Relatively New,601.75,Semi-Luxury,Mid-rise
Flat,antriksh heights,sector 84,1.15,1350.0,2,2,3,0,0,west,Unfurnished,Relatively New,675.0,Semi-Luxury,Mid-rise
Independent House,Unitech Deerwood Chase,sector 50,14.0,4500.0,6,7,2,1,0,east,Semi-Furnished,Relatively New,750.0,Luxury,Low-rise
Independent House,Emaar MGF Marbella,sector 66,18.0,3150.0,5,5,3,1,0,not available,Unfurnished,Relatively New,630.0,Budget,Low-rise
Independent Builder Floor,Signature Global Park,Greater Gurugram - Sohna Region,0.95,1024.0,2,2,3,0,0,north-east,Unfurnished,New Property,512.0,Luxury,Low-rise
Flat,suncity vatsal valley,outskirt,1.5,1130.0,2,2,2,0,0,north,Semi-Furnished,New Property,565.0,Luxury,Low-rise
Independent House,"Medicity, Gurgaon",sector 38,9.0,1467.0,4,4,3+,0,0,north-east,Unfurnished,Relatively New,366.75,Budget,Mid-rise
Flat,anant raj estates,sector 63,2.5,1611.0,3,3,2,0,1,east,Semi-Furnished,Relatively New,537.0,Luxury,Low-rise
Flat,antriksh heights,sector 84,1.3,1450.0,2,2,2,0,0,north-west,Unfurnished,Relatively New,725.0,Semi-Luxury,Mid-rise
Flat,microtek greenburg,sector 86,2.95,1895.0,3,4,3+,1,0,east,Semi-Furnished,Relatively New,631.6666666666666,Semi-Luxury,Low-rise
Independent House,"Rajiv Nagar, Gurgaon",sector 13,2.15,3600.0,11,12,3+,0,0,north-east,Unfurnished,Relatively New,327.27272727272725,Budget,Low-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,7.25,3600.0,4,5,2,1,0,south,Semi-Furnished,New Property,900.0,Semi-Luxury,Low-rise
Flat,adani m2k oyster grande,sector 102,2.49,1889.0,3,3,3+,1,0,north-east,Unfurnished,Relatively New,629.6666666666666,Luxury,Mid-rise
Independent House,International City by SOBHA Phase 2,sector 109,9.5,6228.0,5,6,3+,1,1,north-east,Unfurnished,Relatively New,1245.6,Semi-Luxury,Low-rise
Independent Builder Floor,DLF Garden City Floors,sector 92,2.7,2250.0,4,4,3,1,1,east,Semi-Furnished,Relatively New,562.5,Luxury,Low-rise
Flat,pioneer urban presidia,sector 62,6.7,2590.0,3,3,3,1,0,east,Unfurnished,Relatively New,863.3333333333334,Luxury,Mid-rise
Flat,tulip purple,sector 69,2.68,2400.0,4,5,3+,1,0,east,Furnished,Relatively New,600.0,Luxury,Low-rise
Flat,puri emerald bay,sector 104,3.7,2450.0,3,4,3+,1,0,north-east,Semi-Furnished,Relatively New,816.6666666666666,Luxury,Low-rise
Independent House,"Sector 31, Gurgaon",sector 31,5.67,1458.0,6,6,3,0,0,east,Unfurnished,Old Property,243.0,Budget,Low-rise
Flat,ss linden floors,sector 84,3.15,2700.0,4,4,2,1,0,north,Unfurnished,New Property,675.0,Budget,Low-rise
Independent House,Vipul Tatvam Villa,sector 48,11.0,3240.0,4,4,3,1,0,north,Unfurnished,Old Property,810.0,Semi-Luxury,Low-rise
Independent House,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,10.0,2700.0,5,5,2,1,1,south-west,Unfurnished,Moderately Old,540.0,Budget,Low-rise
Flat,m3m woodshire,sector 107,2.4,2746.0,4,5,3+,1,0,north-east,Unfurnished,Relatively New,686.5,Luxury,Low-rise
Flat,central park 2 bellevue,sector 48,3.75,2350.0,3,3,3,1,0,north-east,Unfurnished,Old Property,783.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,2.55,2367.0,3,3,2,0,1,north-east,Unfurnished,Relatively New,789.0,Budget,Low-rise
Independent House,Unitech Uniworld Resorts,sector 33,12.49,4500.0,5,6,3+,1,1,west,Semi-Furnished,Moderately Old,900.0,Luxury,Low-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,14.5,3600.0,5,6,3,1,0,north-east,Semi-Furnished,Moderately Old,720.0,Luxury,Low-rise
Independent House,"Shivpuri, Gurgaon",sector 7,1.8,1125.0,4,4,2,0,0,north-east,Unfurnished,Old Property,281.25,Budget,Low-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.5,2200.0,4,4,3+,0,0,north-east,Unfurnished,Relatively New,550.0,Semi-Luxury,Low-rise
Independent Builder Floor,Adani Brahma Samsara Vilasa,sector 63,6.0,4653.0,4,4,3,1,0,east,Semi-Furnished,New Property,1163.25,Luxury,Low-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,1.8,594.0,3,3,3,0,0,north,Unfurnished,Old Property,198.0,Budget,Low-rise
Flat,orris carnation residency,sector 85,1.68,1975.0,4,4,3,0,0,north,Unfurnished,Moderately Old,493.75,Semi-Luxury,Mid-rise
Independent House,"Rajendra Park, Gurgaon",sector 105,1.0,1440.0,4,4,2,0,0,not available,Unfurnished,Moderately Old,360.0,Budget,Low-rise
Independent House,Central Park Flower Valley,sector 33,7.75,2250.0,3,3,3,1,0,west,Unfurnished,Relatively New,750.0,Budget,Low-rise
Flat,ireo the corridors,sector 67,2.1,1296.0,2,2,2,0,0,east,Unfurnished,Relatively New,648.0,Luxury,Mid-rise
Flat,sahara grace,sector 28,10.5,5530.0,4,5,3+,1,0,east,Semi-Furnished,Old Property,1382.5,Luxury,Mid-rise
Independent House,"Sector 45, Gurgaon",sector 45,7.35,1836.0,9,9,2,0,0,south-east,Unfurnished,Old Property,204.0,Budget,Low-rise
Independent Builder Floor,Anant Raj Estates,sector 63,2.35,1250.0,3,3,2,0,0,east,Semi-Furnished,New Property,416.6666666666667,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,2.45,1836.0,3,3,2,0,0,north-east,Semi-Furnished,New Property,612.0,Budget,Low-rise
Independent House,Ansal Plaza,sector 23,7.6,2367.0,6,6,2,1,1,north,Semi-Furnished,Moderately Old,394.5,Semi-Luxury,Low-rise
Flat,sare homes,sector 92,1.7,1883.0,4,4,3,0,0,east,Unfurnished,Moderately Old,470.75,Budget,Mid-rise
Flat,dlf park place,sector 54,9.85,2704.0,4,5,3,1,0,north-east,Furnished,Old Property,676.0,Luxury,High-rise
Flat,spaze privvy the address,sector 93,3.1,2720.0,4,4,0,0,0,north-east,Furnished,Moderately Old,680.0,Semi-Luxury,High-rise
Flat,tata gurgaon gateway,sector 112,2.5,1580.0,2,2,2,0,0,north-east,Unfurnished,New Property,790.0,Luxury,Low-rise
Flat,pioneer urban presidia,sector 62,12.5,4795.0,5,5,3,1,1,east,Semi-Furnished,New Property,959.0,Luxury,Mid-rise
Flat,pareena coban residences,sector 99,2.5,2450.0,4,5,3+,1,0,north-east,Furnished,Relatively New,612.5,Semi-Luxury,Mid-rise
Independent House,Unitech Alder Grove,sector 71,4.09,1728.0,4,4,3+,1,0,north-east,Unfurnished,Moderately Old,432.0,Semi-Luxury,Low-rise
Independent Builder Floor,Sushant Lok 1 Builder Floors,sector 43,4.5,2700.0,4,4,3+,1,1,east,Semi-Furnished,New Property,675.0,Semi-Luxury,Low-rise
Independent House,"Sector 31, Gurgaon",sector 31,9.5,3240.0,4,4,2,0,0,west,Unfurnished,Old Property,810.0,Semi-Luxury,Low-rise
Flat,piedmont taksila heights,sector 37,1.75,2026.0,4,4,3+,1,0,south-east,Unfurnished,Moderately Old,506.5,Semi-Luxury,Low-rise
Independent House,"Sector 7 Extension, Gurgaon",sector 7,3.15,1427.0,3,2,1,0,0,not available,Unfurnished,Old Property,475.6666666666667,Budget,Low-rise
Independent House,B block,sector 49,15.5,3870.0,6,6,3,1,1,east,Furnished,Relatively New,645.0,Luxury,Low-rise
Flat,emaar mgf emerald floors premier,sector 65,4.0,1975.0,4,4,1,1,0,north,Unfurnished,Moderately Old,493.75,Luxury,Low-rise
Independent House,Ansals Florence Villa,sector 57,7.25,3800.0,4,4,3+,1,1,east,Semi-Furnished,Moderately Old,950.0,Semi-Luxury,Low-rise
Flat,bestech park view grand spa,sector 81,3.43,2660.0,3,4,3+,1,0,east,Unfurnished,Moderately Old,886.6666666666666,Luxury,Mid-rise
Flat,imperia the esfera,sector 37,1.26,1578.0,2,2,3,0,0,east,Unfurnished,New Property,789.0,Semi-Luxury,Mid-rise
Independent Builder Floor,"B1 Block Sector 57, Gurgaon",sector 57,2.9,1800.0,4,3,2,1,0,north-east,Semi-Furnished,New Property,450.0,Luxury,Low-rise
Flat,tulip yellow,sector 69,2.44,1704.0,3,3,3+,0,0,east,Furnished,New Property,568.0,Luxury,Mid-rise
Flat,ss the coralwood,sector 84,1.79,1750.0,3,3,3+,0,0,north-east,Unfurnished,Relatively New,583.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,3.25,3240.0,4,5,2,1,0,east,Unfurnished,Relatively New,810.0,Budget,Low-rise
Independent Builder Floor,M3M Soulitude,sector 89,1.35,1158.0,2,2,2,0,1,north-east,Unfurnished,New Property,579.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,5.75,3762.0,4,4,2,0,0,not available,Unfurnished,New Property,940.5,Budget,Low-rise
Independent House,Sector 40,sector 40,3.8,900.0,3,3,2,0,0,north-east,Unfurnished,Moderately Old,300.0,Budget,Low-rise
Independent Builder Floor,BPTP Green Oaks,sector 70,1.7,1150.0,3,3,2,1,1,east,Unfurnished,Relatively New,383.3333333333333,Luxury,Low-rise
Independent Builder Floor,"Sushant Lok Phase 3, Gurgaon",sector 57,3.25,2160.0,3,4,2,1,0,north-east,Semi-Furnished,New Property,720.0,Semi-Luxury,Low-rise
Independent Builder Floor,Anant Raj Estates,sector 63,2.16,1611.0,3,3,2,1,0,east,Unfurnished,New Property,537.0,Semi-Luxury,Low-rise
Independent House,"Malibu Town, Gurgaon",sector 47,7.71,1800.0,7,7,3+,0,1,not available,Semi-Furnished,Moderately Old,257.14285714285717,Budget,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,3.82,4680.0,4,5,2,1,1,south-west,Unfurnished,Relatively New,1170.0,Budget,Low-rise
Flat,dlf the ultima,sector 81,3.66,2132.0,3,3,2,1,0,south-west,Furnished,Relatively New,710.6666666666666,Luxury,High-rise
Flat,m3m soulitude,sector 89,1.7,1494.0,3,3,3,1,0,north-east,Unfurnished,New Property,498.0,Luxury,Low-rise
Flat,conscient heritage max,sector 102,2.49,1942.0,3,4,3+,1,0,east,Unfurnished,Relatively New,647.3333333333334,Semi-Luxury,Mid-rise
Flat,dlf the skycourt,sector 86,2.28,1929.0,3,3,1,0,0,north-east,Unfurnished,Relatively New,643.0,Luxury,Mid-rise
Independent Builder Floor,Flora Avenue 33,sector 33,1.25,1365.0,2,2,3+,0,0,north-east,Semi-Furnished,Relatively New,682.5,Luxury,Low-rise
Independent Builder Floor,"Sushant Lok Phase 3, Gurgaon",sector 57,3.4,2160.0,3,3,2,1,0,not available,Unfurnished,New Property,720.0,Budget,Low-rise
Flat,la vida by tata housing,sector 113,4.0,2700.0,3,3,3,1,0,east,Unfurnished,Relatively New,900.0,Semi-Luxury,Mid-rise
Independent House,BPTP Astaire Gardens,sector 70,6.45,5951.0,4,4,3,1,1,north,Unfurnished,New Property,1487.75,Budget,Low-rise
Flat,paras dews,sector 106,1.85,1385.0,2,2,3+,0,0,east,Furnished,Relatively New,692.5,Luxury,Mid-rise
Independent House,damas north garo hills,sector 45,2.6,1700.0,2,4,0,0,0,not available,Unfurnished,New Property,850.0,Budget,Low-rise
Flat,vipul lavanya,sector 81,1.6,1150.0,3,3,2,0,0,south,Unfurnished,Moderately Old,383.3333333333333,Semi-Luxury,Low-rise
Independent Builder Floor,DLF Garden City Floors,sector 92,2.3,1962.0,3,3,3,1,0,east,Unfurnished,New Property,654.0,Budget,Low-rise
Independent Builder Floor,TOP FLOOR TERRACE GARDEN,sector 43,4.21,4000.0,4,5,2,1,0,east,Semi-Furnished,New Property,1000.0,Budget,Low-rise
Flat,hero homes,sector 104,1.52,1099.0,2,2,2,0,0,east,Unfurnished,New Property,549.5,Budget,Mid-rise
Flat,ireo skyon,sector 60,5.6,2800.0,4,5,3,1,0,east,Unfurnished,Relatively New,700.0,Luxury,High-rise
Flat,bestech park view grand spa,sector 81,3.45,2660.0,3,4,3+,1,0,east,Unfurnished,Relatively New,886.6666666666666,Semi-Luxury,Mid-rise
Independent House,Bptp Visionnaire,sector 70,6.2,5951.0,4,4,3+,1,0,east,Unfurnished,New Property,1487.75,Luxury,Low-rise
Independent House,SS Linden Floors,sector 84,3.0,2700.0,4,4,3+,1,0,north-east,Unfurnished,Relatively New,675.0,Semi-Luxury,Low-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.35,1692.0,3,3,3,0,0,north-east,Unfurnished,New Property,564.0,Luxury,Mid-rise
Independent Builder Floor,TOP FLOOR TERRACE GARDEN,sector 43,3.05,1935.0,3,4,2,1,0,east,Semi-Furnished,New Property,645.0,Budget,Low-rise
Flat,puri emerald bay,sector 104,2.35,1700.0,2,3,3,1,0,north,Unfurnished,Relatively New,850.0,Luxury,High-rise
Independent House,"A Block Sushant Lok Phase 1, Gurgaon",sector 43,17.0,4518.0,17,17,2,0,0,south,Unfurnished,Relatively New,265.7647058823529,Budget,Low-rise
Independent Builder Floor,Emaar Emerald Hills,sector 65,3.3,1900.0,3,3,2,1,0,east,Unfurnished,Relatively New,633.3333333333334,Semi-Luxury,Low-rise
Flat,bestech park view ananda,sector 81,1.83,1660.0,3,2,3+,0,0,south-east,Unfurnished,Moderately Old,553.3333333333334,Luxury,Mid-rise
Flat,mapsko casa bella,sector 82,2.3,1960.0,3,3,3+,1,1,north-east,Unfurnished,Relatively New,653.3333333333334,Luxury,Mid-rise
Independent Builder Floor,"Block C2 Sector 3, Gurgaon",sector 3,1.45,1400.0,3,2,1,0,0,east,Unfurnished,New Property,466.6666666666667,Semi-Luxury,Low-rise
Independent Builder Floor,"B Block Sushant Lok Phase 1, Gurgaon",sector 43,4.75,2700.0,4,4,2,0,0,south-west,Unfurnished,New Property,675.0,Budget,Low-rise
Flat,ireo the corridors,sector 67,2.48,1484.0,2,2,2,0,0,north,Unfurnished,Relatively New,742.0,Semi-Luxury,Low-rise
Flat,dlf the ultima,sector 81,3.7,2100.0,3,4,3+,1,0,north-east,Unfurnished,Relatively New,700.0,Semi-Luxury,Mid-rise
Flat,godrej meridien,sector 106,2.75,1665.0,3,3,3+,0,0,north,Unfurnished,New Property,555.0,Budget,Mid-rise
Flat,supertech araville,sector 79,1.57,1945.0,3,3,3,0,0,east,Semi-Furnished,Moderately Old,648.3333333333334,Luxury,Low-rise
Flat,dlf regency park 2,sector 28,3.65,1770.0,3,4,3,1,0,south,Unfurnished,Old Property,590.0,Luxury,Mid-rise
Flat,vipul lavanya,sector 81,1.03,1225.0,2,2,2,0,0,east,Unfurnished,Moderately Old,612.5,Semi-Luxury,Mid-rise
Flat,ats tourmaline,sector 109,2.15,1750.0,3,3,3+,0,0,north-east,Unfurnished,Relatively New,583.3333333333334,Luxury,Low-rise
Flat,antriksh heights,sector 84,1.51,1825.0,3,3,3+,0,0,north,Unfurnished,Relatively New,608.3333333333334,Semi-Luxury,Low-rise
Independent House,Vipul World,sector 48,6.5,1728.0,3,4,3,0,0,north-west,Unfurnished,Relatively New,576.0,Budget,Low-rise
Flat,godrej icon,sector 88,1.81,1630.0,2,2,3+,0,0,north-east,Unfurnished,Relatively New,815.0,Semi-Luxury,Mid-rise
Independent Builder Floor,"A Block Sushant Lok Phase - 3, Gurgaon",sector 43,4.45,3762.0,4,5,2,1,0,west,Unfurnished,New Property,940.5,Semi-Luxury,Low-rise
Flat,ats tourmaline,sector 109,2.1,1750.0,3,3,3+,0,0,north-east,Unfurnished,Relatively New,583.3333333333334,Semi-Luxury,Mid-rise
Flat,tata primanti,sector 72,5.2,2550.0,3,3,2,1,0,north-east,Unfurnished,Moderately Old,850.0,Luxury,High-rise
Flat,eldeco acclaim,Greater Gurugram - Sohna Region,1.55,1457.0,2,2,3,0,0,east,Unfurnished,Relatively New,728.5,Semi-Luxury,Mid-rise
Independent Builder Floor,Vatika Iris Floors,sector 82,1.23,1050.0,2,2,2,0,0,east,Unfurnished,Moderately Old,525.0,Semi-Luxury,Low-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,4.21,1557.0,7,8,3+,0,1,east,Unfurnished,Relatively New,222.42857142857142,Semi-Luxury,Low-rise
Independent House,"Urban Estate, Gurgaon",sector 4,3.6,1440.0,4,4,3+,0,0,west,Unfurnished,Old Property,360.0,Budget,Low-rise
Independent House,"Phase 3 Sector 22A, Gurgaon",sector 22,6.35,2367.0,8,6,3+,1,0,not available,Unfurnished,Old Property,295.875,Budget,Low-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,12.5,2700.0,5,6,3,1,0,north-east,Semi-Furnished,Moderately Old,540.0,Luxury,Low-rise
Flat,m3m heights,sector 65,3.88,2000.0,3,4,3,1,0,north,Unfurnished,Relatively New,666.6666666666666,Luxury,Mid-rise
Flat,spaze privvy the address,sector 93,1.5,1805.0,3,3,3,0,0,east,Unfurnished,Moderately Old,601.6666666666666,Luxury,Low-rise
Flat,spaze privy at4,sector 84,2.1,2275.0,3,3,2,1,0,south,Unfurnished,Relatively New,758.3333333333334,Semi-Luxury,Low-rise
Flat,conscient heritage max,sector 102,3.05,2149.0,3,4,3+,1,0,north-east,Unfurnished,Moderately Old,716.3333333333334,Luxury,Mid-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.35,2250.0,3,3,2,1,0,east,Unfurnished,Relatively New,750.0,Semi-Luxury,Low-rise
Flat,pioneer araya,sector 62,18.9,5514.0,5,7,3+,1,1,north,Semi-Furnished,Relatively New,1102.8,Luxury,High-rise
Flat,mapsko casa bella,sector 82,1.65,1690.0,3,3,3,0,0,east,Unfurnished,Moderately Old,563.3333333333334,Semi-Luxury,Mid-rise
Flat,godrej meridien,sector 106,2.8,1855.0,3,3,3+,0,1,west,Unfurnished,Relatively New,618.3333333333334,Semi-Luxury,Low-rise
Independent House,sadiqplaza,Sohna Road Belt,2.0,5000.0,5,2,2,0,0,not available,Unfurnished,New Property,1000.0,Budget,Low-rise
Independent House,Vipul Tatvam Villa,sector 48,11.25,3159.0,4,4,2,1,1,north-east,Unfurnished,Old Property,789.75,Semi-Luxury,Low-rise
Flat,dlf the ultima,sector 81,5.0,2763.0,4,4,3+,1,0,east,Unfurnished,Moderately Old,690.75,Luxury,Mid-rise
Independent House,"Maruti Kunj, Gurgaon",Greater Gurugram - Sohna Region,0.78,768.0,3,3,3,0,0,east,Unfurnished,Relatively New,256.0,Budget,Low-rise
Flat,ats triumph,sector 104,4.0,3150.0,4,4,3+,1,0,north-west,Unfurnished,Relatively New,787.5,Semi-Luxury,High-rise
Independent Builder Floor,Central Park Flower Valley Mikasa Plots,sector 33,2.19,1721.0,3,3,3,0,0,north,Unfurnished,New Property,573.6666666666666,Budget,Low-rise
Flat,central park flower valley aqua front towers,sector 33,2.65,1789.0,3,3,3+,0,0,east,Unfurnished,Relatively New,596.3333333333334,Luxury,Low-rise
Independent House,Upscale Luxurious Builder Floors,sector 25,12.0,2700.0,3,3,2,1,0,north,Unfurnished,Old Property,900.0,Budget,Low-rise
Independent Builder Floor,Private Builder Floor,sector 45,4.1,3500.0,4,4,2,1,0,north-east,Semi-Furnished,New Property,875.0,Luxury,Low-rise
Flat,tata primanti,sector 72,8.5,4500.0,4,5,3+,1,1,east,Furnished,Moderately Old,1125.0,Luxury,Low-rise
Independent Builder Floor,Vatika India Next,sector 82,3.5,2800.0,4,4,3,1,0,north,Semi-Furnished,New Property,700.0,Budget,Low-rise
Flat,central park flower valley flamingo floors,sector 33,2.35,1274.0,3,2,3+,0,1,east,Unfurnished,Relatively New,424.6666666666667,Semi-Luxury,Low-rise
Flat,ireo the grand arch,sector 58,5.12,2164.0,3,4,1,1,0,east,Unfurnished,Relatively New,721.3333333333334,Semi-Luxury,High-rise
Independent House,"Palam Vihar, Gurgaon",Old Gurgaon,9.5,4680.0,4,4,3+,0,0,north,Unfurnished,Old Property,1170.0,Budget,Low-rise
Flat,dlf regal gardens,sector 90,2.9,2225.0,4,4,3,0,0,north-east,Unfurnished,New Property,556.25,Semi-Luxury,Mid-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,4.5,3240.0,4,4,2,0,0,not available,Unfurnished,New Property,810.0,Budget,Low-rise
Independent House,"Laxman Vihar, Gurgaon",sector 4,0.9,900.0,4,3,1,0,0,not available,Unfurnished,Moderately Old,225.0,Budget,Low-rise
Independent House,"Greenwood City, Gurgaon",sector 45,16.5,4500.0,6,7,3+,1,1,east,Semi-Furnished,Relatively New,750.0,Semi-Luxury,Low-rise
Independent House,"Sector 47, Gurgaon",sector 47,4.35,900.0,3,3,2,0,0,north,Unfurnished,Old Property,300.0,Budget,Low-rise
Independent Builder Floor,Adani M2K Oyster Grande,sector 102,3.81,3198.0,4,4,3+,1,0,north,Unfurnished,Moderately Old,799.5,Semi-Luxury,High-rise
Flat,experion windchants,sector 112,8.0,4848.0,4,6,3+,1,0,west,Unfurnished,Moderately Old,1212.0,Semi-Luxury,Mid-rise
Independent Builder Floor,M3M Soulitude,sector 89,1.62,1494.0,3,3,3,0,0,east,Unfurnished,Relatively New,498.0,Semi-Luxury,Low-rise
Flat,smart world orchard,sector 61,2.65,1600.0,3,3,2,0,0,north-east,Unfurnished,New Property,533.3333333333334,Luxury,Low-rise
Flat,ats triumph,sector 104,2.71,2290.0,3,3,3,1,0,east,Unfurnished,Relatively New,763.3333333333334,Luxury,High-rise
